//https://jsfiddle.net/9tnjL7om/ 動作でも
//https://imgur.com/a/uE6X5IA
Africa/Abidjan	アフリカ/アビジャン
Australia/Lindeman	オーストラリア/リンデマン
Australia/Lord_Howe	オーストラリア/ロードハウ
Australia/Melbourne	オーストラリア/メルボルン
Australia/NSW	オーストラリア/ニューサウスウェールズ
Australia/North	オーストラリア/北
Australia/Perth	オーストラリア/パース
Australia/Queensland	オーストラリア/クイーンズランド
Australia/South	オーストラリア/南
Australia/Sydney	オーストラリア/シドニー
Australia/Tasmania	オーストラリア/タスマニア
Australia/Victoria	オーストラリア/ビクトリア
Australia/West	オーストラリア/西
Australia/Yancowinna	オーストラリア/ヤンコウィナ
Brazil/Acre	ブラジル/エーカー
Brazil/DeNoronha	ブラジル/デノローニャ
Brazil/East	ブラジル/東
Brazil/West	ブラジル/西
CET	CET 中央ヨーロッパ時間
CST6CDT	CST6CDT
Canada/Atlantic	カナダ/大西洋
Canada/Central	カナダ/中央
Canada/Eastern	カナダ/東部
Canada/Mountain	カナダ/山
Canada/Newfoundland	カナダ/ニューファンドランド
Canada/Pacific	カナダ/太平洋
Canada/Saskatchewan	カナダ/サスカチュワン
Canada/Yukon	カナダ/ユーコン
Chile/Continental	チリ/コンチネンタル
Chile/EasterIsland	チリ/イースター島
Cuba	キューバ
EET	EET東ヨーロッパ時間
EST	EST東部基準時
EST5EDT	EST5EDT
Egypt	エジプト
Eire	エール
Etc/GMT+12	その他/GMT-12/UTC-12:00
Etc/GMT+11	その他/GMT-11/UTC-11:00
Etc/GMT+10	その他/GMT-10/UTC-10:00
Etc/GMT+9	その他/GMT-9/UTC-9:00
Etc/GMT+8	その他/GMT-8/UTC-8:00
Etc/GMT+7	その他/GMT-7/UTC-7:00
Etc/GMT+6	その他/GMT-6/UTC-6:00
Etc/GMT+5	その他/GMT-5/UTC-5:00
Etc/GMT+4	その他/GMT-4/UTC-4:00
Etc/GMT+3	その他/GMT-3/UTC-3:00
Etc/GMT+2	その他/GMT-2/UTC-2:00
Etc/GMT+1	その他/GMT-1/UTC-1:00
Etc/GMT	その他/GMT
Etc/GMT0	その他/GMT0
Etc/GMT+0	その他/GMT-0/UTC-0:00
Etc/GMT-0	その他/GMT+0/UTC+0:00
Etc/GMT-1	その他/GMT+1/UTC+1:00
Etc/GMT-2	その他/GMT+2/UTC+2:00
Etc/GMT-3	その他/GMT+3/UTC+3:00
Etc/GMT-4	その他/GMT+4/UTC+4:00
Etc/GMT-5	その他/GMT+5/UTC+5:00
Etc/GMT-6	その他/GMT+6/UTC+6:00
Etc/GMT-7	その他/GMT+7/UTC+7:00
Etc/GMT-8	その他/GMT+8/UTC+8:00
Etc/GMT-9	その他/GMT+9/UTC+9:00
Etc/GMT-10	その他/GMT+10/UTC+10:00
Etc/GMT-11	その他/GMT+11/UTC+11:00
Etc/GMT-12	その他/GMT+12/UTC+12:00
Etc/GMT-13	その他/GMT+13/UTC+13:00
Etc/GMT-14	その他/GMT+14/UTC+14:00
Etc/Greenwich	その他/グリニッジ
Etc/UCT	その他/UCT
Etc/UTC	その他/UTC
Etc/Universal	その他/ユニバーサル
Etc/Zulu	その他/ズル
Europe/Amsterdam	ヨーロッパ/アムステルダム
Europe/Andorra	ヨーロッパ/アンドラ
Europe/Astrakhan	ヨーロッパ/アストラハン
Europe/Athens	ヨーロッパ/アテネ
Europe/Belfast	ヨーロッパ/ベルファスト
Europe/Belgrade	ヨーロッパ/ベオグラード
Europe/Berlin	ヨーロッパ/ベルリン
Europe/Bratislava	ヨーロッパ/ブラチスラバ
Europe/Brussels	ヨーロッパ/ブリュッセル
Europe/Bucharest	ヨーロッパ/ブカレスト
Europe/Budapest	ヨーロッパ/ブダペスト
Europe/Busingen	ヨーロッパ/ブシンゲン
Europe/Chisinau	ヨーロッパ/キシナウ
Europe/Copenhagen	ヨーロッパ/コペンハーゲン
Europe/Dublin	ヨーロッパ/ダブリン
Europe/Gibraltar	ヨーロッパ/ジブラルタル
Europe/Guernsey	ヨーロッパ/ガーンジー
Europe/Helsinki	ヨーロッパ/ヘルシンキ
Europe/Isle_of_Man	ヨーロッパ/マン島
Europe/Istanbul	ヨーロッパ/イスタンブール
Europe/Jersey	ヨーロッパ/ジャージー
Europe/Kaliningrad	ヨーロッパ/カリーニングラード
Europe/Kiev	ヨーロッパ/キエフ
Europe/Kirov	ヨーロッパ/キロフ
Europe/Lisbon	ヨーロッパ/リスボン
Europe/Ljubljana	ヨーロッパ/リュブリャナ
Europe/London	ヨーロッパ/ロンドン
Europe/Luxembourg	ヨーロッパ/ルクセンブルク
Europe/Madrid	ヨーロッパ/マドリード
Europe/Malta	ヨーロッパ/マルタ
Europe/Mariehamn	ヨーロッパ/マリハムン
Europe/Minsk	ヨーロッパ/ミンスク
Europe/Monaco	ヨーロッパ/モナコ
Europe/Moscow	ヨーロッパ/モスクワ
Europe/Nicosia	ヨーロッパ/ニコシア
Europe/Oslo	ヨーロッパ/オスロ
Europe/Paris	ヨーロッパ/パリ
Europe/Podgorica	ヨーロッパ/ポドゴリツァ
Europe/Prague	ヨーロッパ/プラハ
Europe/Riga	ヨーロッパ/リガ
Europe/Rome	ヨーロッパ/ローマ
Europe/Samara	ヨーロッパ/サマラ
Europe/San_Marino	ヨーロッパ/サンマリノ
Europe/Sarajevo	ヨーロッパ/サラエボ
Europe/Saratov	ヨーロッパ/サラトフ
Europe/Simferopol	ヨーロッパ/シンフェロポリ
Europe/Skopje	ヨーロッパ/スコピエ
Europe/Sofia	ヨーロッパ/ソフィア
Europe/Stockholm	ヨーロッパ/ストックホルム
Europe/Tallinn	ヨーロッパ/タリン
Europe/Tirane	ヨーロッパ/ティラン
Europe/Tiraspol	ヨーロッパ/ティラスポリ
Europe/Ulyanovsk	ヨーロッパ/ウリヤノフスク
Europe/Uzhgorod	ヨーロッパ/ウジゴロド
Europe/Vaduz	ヨーロッパ/ファドゥーツ
Europe/Vatican	ヨーロッパ/バチカン
Europe/Vienna	ヨーロッパ/ウィーン
Europe/Vilnius	ヨーロッパ/ビリニュス
Europe/Volgograd	ヨーロッパ/ボルゴグラード
Europe/Warsaw	ヨーロッパ/ワルシャワ
Europe/Zagreb	ヨーロッパ/ザグレブ
Europe/Zaporozhye	ヨーロッパ/ザポリージャ
Europe/Zurich	ヨーロッパ/チューリッヒ
GB	GB
GB-Eire	GB-Eire
GMT	GMT
GMT+0	GMT+0
GMT-0	GMT-0
GMT0	GMT0
Greenwich	グリニッジ
HST	HST
Hongkong	香港
Iceland	アイスランド
Indian/Antananarivo	インド/アンタナナリボ
Indian/Chagos	インド/チャゴス
Indian/Christmas	インド/クリスマス
Indian/Cocos	インド/ココス
Indian/Comoro	インド/コモロ
Indian/Kerguelen	インド/ケルゲレン
Indian/Mahe	インド/マヘ
Indian/Maldives	インド/モルディブ
Indian/Mauritius	インド/モーリシャス
Indian/Mayotte	インド/マヨット
Indian/Reunion	インド/レユニオン
Iran	イラン
Israel	イスラエル
Jamaica	ジャマイカ
Japan	日本
Kwajalein	クェゼリン
Libya	リビア
MET	MET
MST	MST
MST7MDT	MST7MDT
Mexico/BajaNorte	メキシコ/バハノルテ
Mexico/BajaSur	メキシコ/バハシュル
Mexico/General	メキシコ/全般
NZ	NZ
NZ-CHAT	NZ-CHAT
Navajo	ナバホ
PRC	PRC
PST8PDT	PST8PDT
Pacific/Apia	太平洋/アピア
Pacific/Auckland	太平洋/オークランド
Pacific/Bougainville	太平洋/ブーゲンビル
Pacific/Chatham	太平洋/チャタム
Pacific/Chuuk	太平洋/チューク
Pacific/Easter	太平洋/イースター
Pacific/Efate	太平洋/エファテ
Pacific/Enderbury	太平洋/エンダーベリー
Pacific/Fakaofo	太平洋/ファカオフォ島
Pacific/Fiji	太平洋/フィジー
Pacific/Funafuti	太平洋/フナフティ
Pacific/Galapagos	太平洋/ガラパゴス
Pacific/Gambier	太平洋/ガンビア
Pacific/Guadalcanal	太平洋/ガダルカナル
Pacific/Guam	太平洋/グアム
Pacific/Honolulu	太平洋/ホノルル
Pacific/Johnston	太平洋/ジョンストン
Pacific/Kiritimati	太平洋/キリティマティ
Pacific/Kosrae	太平洋/コスラエ
Pacific/Kwajalein	太平洋/クェゼリン
Pacific/Majuro	太平洋/マジュロ
Pacific/Marquesas	太平洋/マルケサス
Pacific/Midway	太平洋/ミッドウェイ
Pacific/Nauru	太平洋/ナウル
Pacific/Niue	太平洋/ニウエ
Pacific/Norfolk	太平洋/ノーフォーク
Pacific/Noumea	太平洋/ヌメア
Pacific/Pago_Pago	太平洋/パゴパゴ
Pacific/Palau	太平洋/パラオ
Pacific/Pitcairn	太平洋/ピトケアン
Pacific/Pohnpei	太平洋/ポンペイ
Pacific/Ponape	太平洋/ポナペ
Pacific/Port_Moresby	太平洋/ポート・モレスビー
Pacific/Rarotonga	太平洋/ラロトンガ
Pacific/Saipan	太平洋/サイパン
Pacific/Samoa	太平洋/サモア
Pacific/Tahiti	太平洋/タヒチ
Pacific/Tarawa	太平洋/タラワ
Pacific/Tongatapu	太平洋/トンガタプ
Pacific/Truk	太平洋/トラック
Pacific/Wake	太平洋/ウェイク
Pacific/Wallis	太平洋/ウォリス
Pacific/Yap	太平洋/ヤップ
Poland	ポーランド
Portugal	ポルトガル
ROC	ROC
ROK	韓国
Singapore	シンガポール
Turkey	トルコ
UCT	UCT
US/Alaska	米国/アラスカ
US/Aleutian	米国/アリューシャン
US/Arizona	米国/アリゾナ
US/Central	米国/中部
US/East-Indiana	米国/東インディアナ
US/Eastern	米国/東部
US/Hawaii	米国/ハワイ
US/Indiana-Starke	米国/インディアナスターク
US/Michigan	米国/ミシガン
US/Mountain	米国/山
US/Pacific	米国/太平洋
US/Pacific-New	US/パシフィックニュー
US/Samoa	米国/サモア
UTC	UTC
Universal	ユニバーサル
W-SU	W-SU
WET	WET西ヨーロッパ時間
Zulu	ズル
